                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.84216,                0.68761,                 1.1122,                0.19845,                0.07632,                0.07634,                0.03616,                 3.0982,                 4.3582,                 3.3454,             0.00071944,             0.00071944,             0.00071944
                     91,                0.82348,                 0.6731,                 1.1068,                0.09866,                0.08493,                0.06323,                0.02908,                 2.9611,                 4.7733,                 3.1815,             0.00071504,             0.00071504,             0.00071504
                     92,                 0.8248,                0.67931,                 1.1104,                0.12445,                0.11737,                 0.0687,                0.02493,                 3.0953,                 4.4385,                 3.2639,             0.00071064,             0.00071064,             0.00071064
                     93,                0.82172,                0.66979,                 1.1075,                0.47508,                 0.0454,                0.06075,                0.02253,                 2.9719,                 4.2478,                 3.2104,             0.00070624,             0.00070624,             0.00070624
                     94,                0.83033,                0.66715,                 1.1047,                0.10044,                0.07456,                0.03788,                0.01011,                 3.1718,                 4.6524,                 3.1637,             0.00070184,             0.00070184,             0.00070184
                     95,                0.79597,                0.64626,                 1.0921,                0.13097,                0.09386,                0.04351,                 0.0136,                 3.3106,                 4.1655,                 3.4836,             0.00069744,             0.00069744,             0.00069744
                     96,                0.81261,                 0.6516,                 1.0987,                0.21848,                0.05807,                0.05639,                0.02719,                 3.0166,                 4.6281,                  3.254,             0.00069304,             0.00069304,             0.00069304
                     97,                0.79161,                0.63927,                 1.0812,                0.13078,                0.08281,                0.04988,                0.01315,                 3.1065,                 4.6024,                 3.2543,             0.00068864,             0.00068864,             0.00068864
                     98,                0.77994,                0.61753,                 1.0758,                0.35035,                0.07313,                0.07333,                0.02403,                 2.9157,                 4.5671,                 3.0292,             0.00068424,             0.00068424,             0.00068424
                     99,                 0.7837,                0.62106,                  1.083,                0.12346,                0.09695,                0.05865,                 0.0186,                  3.085,                 4.9042,                 3.0722,             0.00067984,             0.00067984,             0.00067984
                    100,                 0.7713,                 0.6217,                 1.0799,                0.18506,                0.06483,                0.05942,                0.02065,                 3.0221,                 5.1643,                 3.2013,             0.00067544,             0.00067544,             0.00067544
                    101,                0.80742,                0.65079,                 1.0978,                0.10836,                0.07962,                0.05446,                0.01425,                 3.1027,                 4.9173,                 3.3091,             0.00067104,             0.00067104,             0.00067104
                    102,                0.78387,                 0.6258,                 1.0831,                0.14696,                0.06395,                0.04744,                0.00825,                 3.0808,                  4.969,                 3.2635,             0.00066664,             0.00066664,             0.00066664
                    103,                0.78696,                 0.6486,                 1.0929,                0.13222,                0.06858,                0.04484,                0.01036,                 3.1886,                 5.4622,                 3.1389,             0.00066224,             0.00066224,             0.00066224
                    104,                0.80549,                0.63477,                 1.0877,                0.25745,                0.03622,                0.03435,                0.00891,                 3.0818,                 5.0417,                 3.3364,             0.00065785,             0.00065785,             0.00065785
                    105,                0.77394,                0.61862,                 1.0723,                0.15891,                0.07409,                 0.0397,                 0.0095,                 3.0745,                  4.928,                 3.2554,             0.00065345,             0.00065345,             0.00065345
                    106,                0.74973,                0.60759,                 1.0678,                0.32363,                0.03622,                0.02662,                0.00556,                  3.105,                 5.2168,                 3.2955,             0.00064905,             0.00064905,             0.00064905
                    107,                0.72956,                0.56704,                 1.0418,                0.10309,                0.08493,                0.05839,                0.01744,                 3.0544,                 4.9219,                 3.1933,             0.00064465,             0.00064465,             0.00064465
                    108,                0.75877,                0.60482,                 1.0726,                0.19104,                0.06699,                0.04575,                0.01433,                 3.1429,                 4.7164,                 3.4077,             0.00064025,             0.00064025,             0.00064025
                    109,                0.77416,                 0.6138,                 1.0743,                0.18246,                0.06249,                0.04306,                0.01742,                 3.3448,                 4.7682,                  3.379,             0.00063585,             0.00063585,             0.00063585
                    110,                0.75554,                0.60539,                 1.0597,                0.07109,                 0.0574,                0.04631,                0.01224,                 2.9303,                 4.7182,                 3.0247,             0.00063145,             0.00063145,             0.00063145
                    111,                0.78273,                0.64328,                 1.0911,                0.16476,                0.09391,                0.05017,                0.00822,                 3.0576,                 4.8583,                 3.2403,             0.00062705,             0.00062705,             0.00062705
                    112,                0.74932,                0.60951,                 1.0614,                0.08141,                0.06892,                0.04471,                0.00952,                 2.9498,                  4.566,                 3.2121,             0.00062265,             0.00062265,             0.00062265
                    113,                0.73628,                0.59083,                 1.0519,                0.13203,                0.05449,                0.05944,                0.01955,                 3.1639,                 4.4391,                  3.539,             0.00061825,             0.00061825,             0.00061825
